metrics,query,galago,anserini,galago_best,anserini_best,abs_diff
recip_rank,enwiki:Antibiotics/Interactions/Birth%20control%20pills,1.0,1.0,0.0,0.0,0.0
P_20,enwiki:Antibiotics/Interactions/Birth%20control%20pills,0.1,0.1,0.0,0.0,0.0
recall_40,enwiki:Antibiotics/Interactions/Birth%20control%20pills,1.0,1.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Antibiotics/Interactions/Birth%20control%20pills,1.0,1.0,0.0,0.0,0.0
map,enwiki:Antibiotics/Medical%20uses,0.0018,0.002,-0.0002000000000000001,0.0002000000000000001,0.0002000000000000001
Rprec,enwiki:Antibiotics/Medical%20uses,0.0,0.0,0.0,0.0,0.0
recip_rank,enwiki:Antibiotics/Medical%20uses,0.0019,0.0021,-0.00019999999999999987,0.00019999999999999987,0.00019999999999999987
P_20,enwiki:Antibiotics/Medical%20uses,0.0,0.0,0.0,0.0,0.0
recall_40,enwiki:Antibiotics/Medical%20uses,0.0,0.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Antibiotics/Medical%20uses,0.0,0.0,0.0,0.0,0.0
map,enwiki:Antibiotics/Medical%20uses/Administration,0.037,0.0286,0.008399999999999998,-0.008399999999999998,0.008399999999999998
Rprec,enwiki:Antibiotics/Medical%20uses/Administration,0.0,0.0,0.0,0.0,0.0
recip_rank,enwiki:Antibiotics/Medical%20uses/Administration,0.037,0.0286,0.008399999999999998,-0.008399999999999998,0.008399999999999998
P_20,enwiki:Antibiotics/Medical%20uses/Administration,0.0,0.0,0.0,0.0,0.0
recall_40,enwiki:Antibiotics/Medical%20uses/Administration,1.0,1.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Antibiotics/Medical%20uses/Administration,0.0,0.0,0.0,0.0,0.0
map,enwiki:Antibiotics/Pharmacodynamics,0.0,0.0,0.0,0.0,0.0
Rprec,enwiki:Antibiotics/Pharmacodynamics,0.0,0.0,0.0,0.0,0.0
recip_rank,enwiki:Antibiotics/Pharmacodynamics,0.0,0.0,0.0,0.0,0.0
P_20,enwiki:Antibiotics/Pharmacodynamics,0.0,0.0,0.0,0.0,0.0
recall_40,enwiki:Antibiotics/Pharmacodynamics,0.0,0.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Antibiotics/Pharmacodynamics,0.0,0.0,0.0,0.0,0.0
map,enwiki:Antibiotics/Pharmacodynamics/Combination%20therapy,1.0,1.0,0.0,0.0,0.0
Rprec,enwiki:Antibiotics/Pharmacodynamics/Combination%20therapy,1.0,1.0,0.0,0.0,0.0
recip_rank,enwiki:Antibiotics/Pharmacodynamics/Combination%20therapy,1.0,1.0,0.0,0.0,0.0
P_20,enwiki:Antibiotics/Pharmacodynamics/Combination%20therapy,0.05,0.05,0.0,0.0,0.0
recall_40,enwiki:Antibiotics/Pharmacodynamics/Combination%20therapy,1.0,1.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Antibiotics/Pharmacodynamics/Combination%20therapy,1.0,1.0,0.0,0.0,0.0
map,enwiki:Antibiotics/Production,0.0005,0.0009,-0.00039999999999999996,0.00039999999999999996,0.00039999999999999996
Rprec,enwiki:Antibiotics/Production,0.0,0.0,0.0,0.0,0.0
recip_rank,enwiki:Antibiotics/Production,0.001,0.0018,-0.0007999999999999999,0.0007999999999999999,0.0007999999999999999
P_20,enwiki:Antibiotics/Production,0.0,0.0,0.0,0.0,0.0
recall_40,enwiki:Antibiotics/Production,0.0,0.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Antibiotics/Production,0.0,0.0,0.0,0.0,0.0
map,enwiki:Antibiotics/Research/Alternatives,0.0016,0.0022,-0.0006000000000000001,0.0006000000000000001,0.0006000000000000001
Rprec,enwiki:Antibiotics/Research/Alternatives,0.0,0.0,0.0,0.0,0.0
recip_rank,enwiki:Antibiotics/Research/Alternatives,0.0016,0.0022,-0.0006000000000000001,0.0006000000000000001,0.0006000000000000001
P_20,enwiki:Antibiotics/Research/Alternatives,0.0,0.0,0.0,0.0,0.0
recall_40,enwiki:Antibiotics/Research/Alternatives,0.0,0.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Antibiotics/Research/Alternatives,0.0,0.0,0.0,0.0,0.0
map,enwiki:Antibiotics/Research/Development%20of%20new%20antibiotics,0.175,0.0917,0.08329999999999999,-0.08329999999999999,0.08329999999999999
Rprec,enwiki:Antibiotics/Research/Development%20of%20new%20antibiotics,0.0,0.0,0.0,0.0,0.0
recip_rank,enwiki:Antibiotics/Research/Development%20of%20new%20antibiotics,0.25,0.0833,0.16670000000000001,-0.16670000000000001,0.16670000000000001
P_20,enwiki:Antibiotics/Research/Development%20of%20new%20antibiotics,0.1,0.1,0.0,0.0,0.0
recall_40,enwiki:Antibiotics/Research/Development%20of%20new%20antibiotics,1.0,1.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Antibiotics/Research/Development%20of%20new%20antibiotics,0.4037,0.3053,0.09839999999999999,-0.09839999999999999,0.09839999999999999
map,enwiki:Antibiotics/Research/Phage%20therapy,0.5,1.0,-0.5,0.5,0.5
Rprec,enwiki:Antibiotics/Research/Phage%20therapy,0.0,1.0,-1.0,1.0,1.0
recip_rank,enwiki:Antibiotics/Research/Phage%20therapy,0.5,1.0,-0.5,0.5,0.5
P_20,enwiki:Antibiotics/Research/Phage%20therapy,0.05,0.05,0.0,0.0,0.0
recall_40,enwiki:Antibiotics/Research/Phage%20therapy,1.0,1.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Antibiotics/Research/Phage%20therapy,0.6309,1.0,-0.3691,0.3691,0.3691
map,enwiki:Antibiotics/Research/Phytochemicals,1.0,1.0,0.0,0.0,0.0
Rprec,enwiki:Antibiotics/Research/Phytochemicals,1.0,1.0,0.0,0.0,0.0
recip_rank,enwiki:Antibiotics/Research/Phytochemicals,1.0,1.0,0.0,0.0,0.0
P_20,enwiki:Antibiotics/Research/Phytochemicals,0.05,0.05,0.0,0.0,0.0
recall_40,enwiki:Antibiotics/Research/Phytochemicals,1.0,1.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Antibiotics/Research/Phytochemicals,1.0,1.0,0.0,0.0,0.0
map,enwiki:Antibiotics/Research/Resistance-modifying%20agents,0.0167,0.025,-0.008300000000000002,0.008300000000000002,0.008300000000000002
